title,price,link
1950 Oldsmobile rocket 88 sedanette,"$15,000",https://web.facebook.com/marketplace/item/1685070265409104/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
"Toolboxes with tools,air tools,power tools",$300,https://web.facebook.com/marketplace/item/502715329601017/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
Dresser,$55,https://web.facebook.com/marketplace/item/637051458760558/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
PS5,$250,https://web.facebook.com/marketplace/item/479489331672136/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
1974 Chevrolet cheyenne super c-10,"$12,500",https://web.facebook.com/marketplace/item/662412082785289/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
1 Bed 1 Bath House,"$1,900",https://web.facebook.com/marketplace/item/8895948733848859/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
Authentic Chinese ‘Tie Futuo’ （铁浮屠）Border Army Lamellar Armor Set,$500,https://web.facebook.com/marketplace/item/1015004193794891/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
2011 Honda pilot,"$5,800",https://web.facebook.com/marketplace/item/2664726897053576/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
"Apple Watch Ultra 2 - Great Condition, Original Box Included!",$600,https://web.facebook.com/marketplace/item/1436390320672699/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
2002 Forest River rockwood,"$2,600",https://web.facebook.com/marketplace/item/1161488365533616/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
Dyson Airwrap (Complete Set),$200,https://web.facebook.com/marketplace/item/1823489755108546/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
Chocolate covered strawberries,$40,https://web.facebook.com/marketplace/item/634745675745874/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
1993 Mitsubishi 3000gt VR-4 Coupe 2D,"$9,000",https://web.facebook.com/marketplace/item/455925706765597/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
2013 Harley Davidson Sportster,"$2,200",https://web.facebook.com/marketplace/item/1648438109112042/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
Weber Genesis Grill with Propane Tank,$90,https://web.facebook.com/marketplace/item/653604583670945/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
Sofa bed,$100,https://web.facebook.com/marketplace/item/519550047258755/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
Teardrop Trailer,"$2,500",https://web.facebook.com/marketplace/item/527587400429678/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
1968 Chevrolet camaro Coupe 2D,"$39,500",https://web.facebook.com/marketplace/item/387629354408586/?ref=browse_tab&referral_code=marketplace_top_picks&referral_story_type=top_picks&__tn__=!%3AD
Follow,,https://m.facebook.com/profile.php?id=100089617338533
Adidas Samba,,https://web.facebook.com/marketplace/item/2097141770805198/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Nike P-6000,"ETB8,000",https://web.facebook.com/marketplace/item/1711409326104248/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Sketchers shoe,"$3,000",https://web.facebook.com/marketplace/item/1301597811075738/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Converse all Star shoe,"ETB6,499",https://web.facebook.com/marketplace/item/2383340818719919/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Original Nike mercurial football Shoes,"£3,000",https://web.facebook.com/marketplace/item/1044168577476527/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Adidas shoes,"ETB5,999",https://web.facebook.com/marketplace/item/2070227930066941/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Man sketchers shoe,"$3,300",https://web.facebook.com/marketplace/item/1312064726501070/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Adidas sports shoes,"ETB3,800",https://web.facebook.com/marketplace/item/592498943612446/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Original Tiger Woman's Shoes,"ETB6,000",https://web.facebook.com/marketplace/item/896080789268069/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
Leather material man's Shoes,"ETB5,000",https://web.facebook.com/marketplace/item/9196488523778018/?ref=marketplace_profile&referral_code=undefined&__tn__=!%3AD
