title,price,link,highlight
"ViewSonic VX3276-4K-MHD 32 Inch 4K UHD Monitor with Ultra-Thin Bezels, HDR10 HDMI ...","ETB 43055
",https://www.ubuy.et/en/product/BRHWKO6-viewsonic-vx3276-4k-mhd-32-inch-frameless-4k-uhd-monitor-with-hdr10-hdmi-and-displayport-for-home-and-office-gray,new
"Dell Precision 7770 Mobile Workstation - 17.3"" FHD AG Display - 4.8 GHz Intel Core ...","ETB 461803
",https://www.ubuy.et/en/product/1AF70HHHI-dell-mobile-precision-7750-laptop-17-3-fhd-ag-screen-2-7-ghz-intel-core-i7-10850h-six-core-512gb-ssd-32gb-quadro-t2000-windows-10,new
"JETech Screen Protector for iPad Pro 11-Inch 2022/2021/2020/2018 Model, iPad Air ...","ETB 2063
2356

",https://www.ubuy.et/en/product/1Y6ORDK-jetech-2-pack-screen-protector-for-ipad-air-4-10-9-inch-ipad-pro-11-inch-2020-and-2018-release-edge-to-edge-liquid-retina-display-face-id-compatible-t,new
SanDisk Industrial 8GB Micro SD Memory Card Class 10 UHS-I MicroSDHC Bulk 2 Pack in ...,"ETB 3048
",https://www.ubuy.et/en/product/7ZPZWXEO-sandisk-industrial-8gb-micro-sd-memory-card-class-10-uhs-i-microsdhc-bulk-2-pack-in-cases-sdsdqaf3-0,new
Infinity REF1200S Reference 12 Inch Low Profile Subwoofer with SSI Selectable Smart ...,"ETB 17428
",https://www.ubuy.et/en/product/R462LF2-infinity-reference-ref1200s-12-shallow-mount-subwoofer-black,new
PGYTECH Action Camera Strap Holder Backpack Clip,"ETB 4246
",https://www.ubuy.et/en/product/3RI61V4-pgytech-action-camera-strap-holder-compatible-with-dji-osmo-pocket2-pocket-osmo-action-gopro-hero-9-8-7-6-5-insta360-one,new
"HP 27 All-in-One PC, 11th Gen Intel Core i7-1165G7 Processor, 16 GB RAM, 512 GB ...","ETB 203802
",https://www.ubuy.et/en/product/2I0RWL6-hp-27-all-in-one-pc-11th-gen-intel-core-i7-1165g7-processor-16-gb-ram-512-gb-ssd-27-full-hd-touchscreen-windows-10-home-wireless-mouse-keyboard-dual-a,new
UpBright 24V AC/DC Adapter Compatible with Epson Workforce WF-100 GT-S80 GTS-50 GT ...,"ETB 3511
",https://www.ubuy.et/en/product/ZEV6QCO-upbright-24v-ac-dc-adapter-compatible-with-epson-workforce-wf-100-gt-s80-gts-50-gt-1500-2500-gt-f520,new
G.SKILL Trident Z RGB Series Intel XMP DDR4 RAM 16GB 2x8GB 4000MT/s CL18-22-22-42 ...,"ETB 8358
",https://www.ubuy.et/en/product/NMZM30M-g-skill-trident-z-rgb-series-16gb-2-x-8gb-288-pin-sdram-ddr4-4000-pc4-32000-cl18-22-22-42-1-35v-dual-channel-desktop-memory-model-f4-4000c18d-16gtzrb,new
"Kicker 48CWR82 CompR 8"" Subwoofer, DVC, 2-ohm","ETB 12307
15239

",https://www.ubuy.et/en/product/2B2E1GGC-kicker-compr-8-20cm-subwoofer-dvc-2-ohm-rohs-compliant,new
Tv Power Cord 12Ft Cable for Samsung LG TCL Sony Apple Tv Insignia Sharp Toshiba ...,"ETB 2063
",https://www.ubuy.et/en/product/31EMOWO-pwr-tv-power-cord-12ft-cable-for-samsung-lg-tcl-sony-2-prong-ac-wall-plug-2-slot-led-lcd-insignia-sharp-toshiba-jvc-hisense-electronics-un65ks8000fxza,new
"Anker Extension Cord,Mini Power Strip with USB Ports ,2 Outlets and 2 USB-A Ports, ...","ETB 2941
",https://www.ubuy.et/en/product/1WSVXDG-anker-power-strip-with-usb-powerextend-usb-2-mini-2-outlets-and-2-usb-ports-flat-plug-5-ft-extension-cord-safety-system-for-travel-desk-and-home-offic,new
"Cable Matters Plug & Play USB to Ethernet Adapter with PXE, MAC Address Clone ...","ETB 2795
2941

",https://www.ubuy.et/en/product/LFMIMI-cable-matters-usb-to-ethernet-adapter-usb-3-0-to-ethernet-supporting-10-100-1000-mbps-ethernet-network-in-black,new
"Senso Bluetooth Headphones, Best Wireless Sports Earphones w/Mic IPX7 Waterproof HD ...","ETB 4256
",https://www.ubuy.et/en/product/TYXGLG-bluetooth-headphones-wireless-earbuds-for-running-noise-cancelling-headsets-for-workout-sports-earphones-bluetooth-5-0-with-mic-best-beats-waterproof,new
KODAK Printomatic Full-Color Instant Print Digital Camera - Colorful Photos On Zink ...,"ETB 9383
",https://www.ubuy.et/en/product/46H5UOA-kodak-printomatic-digital-instant-print-camera-full-color-prints-on-zink-2x3-sticky-backed-photo-paper-pink-print-memories-instantly,new
